ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
Null,,,NZ42484219,CE,C,"61790",442470.974,548289.453,60.7651048750008
Null,,,NZ42484218,CE,C,"61870",442472.562,548291.69,60.6696352499988
MH,,"560",NZ42484331,CH,C,"62290",442472.69,548319.697,60.2462783125
Null,,,NZ42484221,J,C,"61870",442474.169,548293.953,60.5730448750007
MH,,"720",NZ42484330,CH,C,"62370",442474.783,548322.739,60.1468193750001
MH,,,NZ42484334,CH,C,"61600",442475,548303,60.3015625
Null,,,NZ42484344,J,C,"61600",442479.328,548301.221,60.2628728749999
MH,,,NZ42484332,CH,C,"61320",442481,548312,59.9254375
MH,,,NZ42483302,CH,C,"63940",442363,548352.5,63.01909375
MH,,,NZ42483407,CH,C,"62700",442364,548430,62.44853125
MH,,"1500",NZ42483402,CH,C,"62870",442371.999,548429.431,62.6413133125006
MH,,"980",NZ42483408,CH,C,"62190",442374,548442,62.343125
MH,,,NZ42483410,CH,C,"62580",442377,548431,62.72021875
MH,,"870",NZ42483409,CH,C,"62280",442378,548442,62.188125
Null,,,NZ42483427,J,C,"62850",442387.721,548427.842,62.6963112500026
MH,,"760",NZ42483411,CH,C,"62360",442389,548440,61.886875
MH,,,NZ42483412,CH,C,"62680",442389,548430,62.511875
MH,,"850",NZ42483403,CH,C,"62750",442396.181,548426.988,62.4218612499999
Null,,,NZ42484425,J,C,"62890",442402.001,548423.725,62.4002737500019
MH,,"610",NZ42484405,CH,C,"62340",442404,548437,61.493125
MH,,,NZ42484406,CH,C,"62710",442404,548425,62.243125
MH,,,NZ42484401,CH,C,"60770",442409.307,548468.537,59.3164162500004
MH,,"870",NZ42484411,CH,C,"61580",442410,548454,60.198125
MH,,"1070",NZ42484407,CH,C,"62990",442414,548417,62.355625
Null,,,NZ42484426,J,C,"61000",442418.499,548464.919,59.1863512499999
MH,,,NZ42484412,CH,C,"61000",442419,548462,59.349375
MH,,"1210",NZ42484408,CH,C,"62850",442426,548411,61.53978125
Null,,,NZ42484424,CE,C,"61340",442430.44,548445.453,59.9402625000012
MH,,"1310",NZ42484413,CH,C,"60770",442431,548460,59.009375
MH,,"1060",NZ42484404,CH,C,"62840",442432.356,548407.333,61.5629818333334
