DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-549995,3.78637187819297,3.78637187819297,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-MN1361431,33.8864808446514,33.8785147254125,1.00023513779466
,MDPE,"32",PRIVATE,,,,WTE-MN1361429,25.1822267680484,25.1822267680484,1
01-01-2016,MDPE,"25",DISTRIBUTION,"2016","25",MDPE,WTE-MN1361433,2.28933396428649,2.28933396428649,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-MN1361430,3.20956850683201,3.20956850683201,1
,MDPE,"25",PRIVATE,,,,WTE-MN1361434,27.2089929619076,27.2089929619076,1
01-01-2016,MDPE,"32",DISTRIBUTION,"2016","32",MDPE,WTE-MN1361432,2.51207583481844,2.51207583481844,1
,MDPE,"32",PRIVATE,,,,WTE-MN1361435,25.208775634724,25.208775634724,1
,MDPE,"32",PRIVATE,,,,WTE-MN1361437,3.01943964893404,2.20440694969524,1.36972878322284
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-282071,73.9233004012532,62.4252897229375,1.1841883430473
01-01-1991,UPVC,"4""",DISTRIBUTION,"1991","100",UPVC,WTE-606998,2.76300452409974,2.76300452409974,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281968,158.138339319659,153.247042940498,1.03191772112079
01-01-1992,UPVC,"6""",DISTRIBUTION,"1992","150",UPVC,WTE-282091,126.781950846809,79.8439559703682,1.58787160914046
01-01-1991,PE,"63",DISTRIBUTION,"1991","63",PE,WTE-282074,98.2017514297165,30.8614488480567,3.18202012851708
01-01-1992,UPVC,"6""",DISTRIBUTION,"1992","150",UPVC,WTE-282089,2.94347131197595,2.94136464919556,1.00071621952109
01-01-1992,PE,"63",DISTRIBUTION,"1992","63",PE,WTE-282102,2.00857362327707,2.00857362327707,1
01-01-1992,UPVC,"6""",DISTRIBUTION,"1992","150",UPVC,WTE-282087,75.0268375341024,70.8950765921695,1.05827994185973
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606994,2.46584873820887,2.46584873820887,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281974,112.360669222825,103.303370617836,1.08767669971288
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606970,2.92317036793394,2.92317036793394,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281972,3.62515053551741,3.52139319019487,1.02946485658331
01-01-1992,PE,"63",DISTRIBUTION,"1992","63",PE,WTE-282099,48.0308496861968,22.739090439178,2.1122590551574
,UNKNOWN,UNKNOWN,PRIVATE,"1990","150",UPVC,WTE-MN603630,13.8726041535057,13.8726041535057,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-MN603634,11.87021896852,6.09596792975969,1.94722464181138
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-MN603635,1.90327139419851,1.90327139419851,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-MN603637,3.02818179771552,3.02818179771552,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-MN603636,3.08554338805985,3.08554338805985,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-293748,4.27856634866376,4.27856634866376,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-MN603632,1.95450761061906,1.95450761061906,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-289895,15.2955807016974,15.2955807016974,1
,UNKNOWN,UNKNOWN,DISTRIBUTION,"1990","150",UPVC,WTE-606981,1.74805177270022,1.74805177270022,1
