UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
"1400",,NZ27449503,NZ27449509,GRV,"150",,VC,"1975","150","1.20",,F,,STE-S1425756,20.4344328279951,20.4344328279951,1
,,NZ27449712,NZ27449714,GRV,"300",,Z,"1975","300","2.00",,S,,STE-S1425767,37.7168343979419,37.7168343979419,1
,,NZ2843A001,NZ2843P001,GRV,"100",,Z,,,,,F,,STE-S1432113,7.41975909316116,7.41975909316116,1
,,NZ28437308,NZ2843A001,GRV,"100",,Z,,,,,F,,STE-S1432114,11.478314728192,11.478314728192,1
,,NZ29430105,NZ2943A002,GRV,"100",,VC,,,,,C,,STE-S1409647,24.8785884647712,24.8785884647712,1
,,NZ29430102,NZ2943A001,GRV,"100",,VC,,,,,C,,STE-S1409648,14.6242145087747,14.6242145087747,1
,,NZ2943A002,NZ2943P022,GRV,"100",,VC,,,,,C,,STE-S1409646,4.86148392985858,4.86148392985858,1
,,NZ2943A001,NZ2943P021,GRV,"100",,VC,,,,,C,,STE-S1409645,3.75293285317927,3.75293285317927,1
,,NZ2943P020,NZ2943P019,GRV,"150",,Z,,,,,S,,STE-S1401023,5.1563384295156,5.1563384295156,1
,,NZ2943P019,NZ2943P018,GRV,"150",,Z,,,,,S,,STE-S1401022,54.6324654191704,45.0172292462125,1.21359013724211
,"1350",NZ27429816,NZ27429801,GRV,"150",,VC,"1955","150","1.40",,C,,STE-S202785,47.6176784923823,47.6176784923823,1
,,NZ27429818,NZ27429817,GRV,"100",,Z,,,,,C,,STE-S1411636,10.9918916024534,10.9918916024534,1
"1840",,NZ27429802,NZ27429816,GRV,"150",,VC,"1955","150","1.40",,C,,STE-S1411635,9.60662797238015,9.60662797238015,1
,,NZ27429816,NZ27429819,GRV,"100",,Z,,,,,C,,STE-S1411638,5.29176237195777,5.29176237195777,1
,,NZ27429819,NZ27429818,GRV,"100",,Z,,,,,C,,STE-S1411637,9.70916937738301,9.70916937738301,1
,,NZ27429802,NZ27429814,GRV,,,Z,,,,,C,,STE-S1411633,34.464639792148,34.464639792148,1
,,NZ27429802,NZ27429822,GRV,"100",,Z,,,,,C,,STE-S1411645,4.74289384235545,4.74289384235545,1
